X,Y,Depression_prevelence,PopulationDensity,PopulationFemale,Population65,NoHealthInsurance,Neighbor_Disadvantage,Beer,MentalHealthPati,Generalhosptials,NatureParks,Casinos,DrinkingPlaces,X.HouseRent
-82.334453,34.411896,23.10000038,61.48899,53.4,22.47,7.98,-0.052541542,1.244607,0.333316,11.885145,11.774442,0.120472,2.007608,28.38
-82.41126,34.32681,22.79999924,58.3391,48.1,16.8,10.96,-0.253567525,1.265228,0.230003,7.913212,13.429822,0.217743,2.481604,17.01
-82.583602,34.250053,23.20000076,35.92264,50.92,24.48,9.31,-0.054039474,1.376117,0.498014,12.720732,10.771803,0.049598,2.906289,18.32
-82.368482,34.221259,21.79999924,76.091,52.13,21.78,13.17,0.073054521,1.534041,0.162962,15.449393,20.497589,0.255151,4.273462,22.36
-82.379797,34.126051,20.70000076,47.30931,50.27,21.97,11,0.762641351,1.328406,0.134841,9.975064,12.395006,0.078598,3.378659,24.55
-82.588447,34.131772,21.29999924,32.48264,56.58,19.22,13.02,0.421748956,0.476707,0.023511,7.16229,7.76251,0,1.170264,28.7
-81.560113,33.757931,22,36.91897,49.9,19.24,10.83,0.112718487,1.355255,0.246431,14.623179,10.668163,0.103196,1.308981,23.18
-81.648992,33.657018,21.20000076,61.52751,49.27,15.89,8.57,-0.153870647,3.51959,0.209674,30.555258,11.697338,0.192048,2.307366,9.62
-81.800432,33.655348,22.70000076,67.21824,49.06,15.72,17.76,-0.3198518,4.819218,0.736981,43.001506,16.97927,0.387171,3.183253,15.41
-81.757536,33.606892,20.60000038,253.6312,55.24,11.29,12.73,0.457177562,2.880351,0.214214,24.429482,11.371546,0.128272,2.663188,39.36
-81.838905,33.569634,21.89999962,501.6391,49.95,11.02,13.03,0.07590746,2.418867,0.286862,52.035251,19.176265,0.356056,2.973913,26.97
-81.925886,33.58221,20,645.3383,50.07,16.87,5.1,-0.459161237,1.722697,1.318026,70.287164,34.796554,0.465994,4.893823,15.37
-81.89866,33.558019,20.10000038,403.8991,49.85,10.56,3.08,-0.716483595,1.898144,1.133039,65.666459,32.21389,0.219846,4.659,2.22
-81.938704,33.537911,21.20000076,1220.739,57.66,13.58,16.1,0.524272829,1.263806,1.054733,70.845724,37.757509,0.283411,3.312826,38.39
-81.968318,33.52884,20.89999962,1242.262,52.96,23.76,12.88,-0.371240888,1.536744,0.752843,90.801947,39.564903,0.269446,5.748139,19.83
-81.948761,33.502943,20.20000076,1828.278,51.65,11.94,13.49,0.256153407,0.856947,0.245369,40.086414,15.232891,0.183981,2.104588,55.9
-81.99172,33.521586,19.20000076,1074.432,49.59,23.46,2.62,-0.881417623,0.717702,0.424093,71.472724,45.767525,0.278032,5.308961,11.92
-81.970487,33.492016,21.39999962,1903.332,54.33,17.15,6.47,0.117851215,1.125183,0.567888,59.327338,33.064559,0.313353,5.006576,53.61
-81.888521,33.383605,21.60000038,77.90903,46.19,17.27,11.16,0.046907087,0.646557,0.282457,55.522619,10.007818,0.126508,2.70936,20.9
-81.851259,33.462541,21.39999962,160.0705,49.93,18.96,16.58,0.232043803,1.971407,0.631437,58.049667,17.656422,0.223982,3.835239,15.06
-81.869176,33.510083,23.39999962,486.0772,50.57,15.57,14.11,0.299485677,2.135242,0.211118,61.499787,16.273975,0.202331,2.742765,31.81
-81.9127,33.504909,23.70000076,765.6835,54.04,17.32,22.08,0.697093566,1.184472,0.371128,49.615047,13.824175,0.381588,2.949846,47.46
-81.829062,33.514348,26,567.1854,55.91,13.15,14.48,1.091783645,2.585243,0.134123,34.883022,13.765064,0.15529,1.57069,38.71
-81.804015,33.530943,23,744.3381,50.66,14.87,13.02,0.495898931,2.001237,0.368172,35.162836,11.75334,0.18846,1.938929,28.64
-81.763822,33.523758,19.10000038,808.3129,47.56,26.95,4.01,-0.610187193,2.048534,0.428431,41.402646,19.611988,0.289684,4.285701,33.55
-81.747206,33.542438,19,587.2632,50.39,26.51,5.33,-0.746054098,2.210749,0.50325,24.54421,16.62266,0.332488,4.292439,26.35
-81.724833,33.485798,18.10000038,826.9169,55,35.39,3.57,-0.652532811,2.835746,0.573671,28.870118,17.663617,0.18428,4.536444,15.03
-81.752991,33.567067,19.70000076,1116.276,59.09,28.22,7.38,-0.425985251,3.503449,0.395273,22.571088,14.7389,0.156529,4.280089,33.78
-81.722841,33.572658,18.79999924,1505.438,55.34,20.4,13.68,1.671540223,1.981962,0.211834,17.02214,10.776236,0.064609,2.229367,48.47
-81.705534,33.540539,19.79999924,1642.401,53.09,19.76,4.74,-0.306424355,2.212333,0.197853,23.006602,26.842545,0.414181,4.191664,33.41
-81.656877,33.566104,21.10000038,332.7303,44.69,13.28,15.31,0.266293462,2.572443,0.096228,19.096077,11.313249,0.014781,2.59765,39.4
-81.678155,33.50851,20,632.1519,52.04,16.95,6.89,-0.287079752,1.848038,0.377767,29.964833,28.650823,0.23657,3.463782,30.61
